=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            2.4e-08        4.6e-09        4.6e-09        -1             
8.2            4.8e-08        9.2e-09        9.2e-09        -1             
8.3            7.2e-08        1.38e-08       1.38e-08       -1             
8.4            9.6e-08        1.84e-08       1.84e-08       -1             
8.5            1.24e-07       1.83e-08       1.83e-08       0.793          
8.6            1.39e-07       2e-08          2e-08          0.882          
8.7            1.53e-07       2.14e-08       2.14e-08       0.944          
8.8            1.67e-07       2.27e-08       2.27e-08       0.982          
8.9            1.81e-07       2.39e-08       2.39e-08       0.917          
9              1.95e-07       2.5e-08        2.5e-08        0.875          
9.1            2.08e-07       2.59e-08       2.59e-08       0.851          
9.2            2.2e-07        2.68e-08       2.68e-08       0.83           
9.3            2.33e-07       2.77e-08       2.77e-08       0.825          
9.4            2.46e-07       2.85e-08       2.85e-08       0.807          
9.5            2.59e-07       2.93e-08       2.93e-08       0.803          
9.6            2.69e-07       2.97e-08       2.97e-08       0.879          
9.7            2.79e-07       3.02e-08       3.02e-08       0.952          
9.8            2.9e-07        3.06e-08       3.06e-08       0.965          
9.9            3e-07          3.1e-08        3.1e-08        0.897          
10             3.12e-07       3.15e-08       3.15e-08       0.82           
END DATA
-------------------------

=========================
ELE = O
A   = 0
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              1.64e-08       1.4e-09        1.4e-09        -1             
4.1            1.9e-08        1.6e-09        1.6e-09        -1             
4.2            2.16e-08       1.8e-09        1.8e-09        -1             
4.3            2.41e-08       2e-09          2e-09          -1             
4.4            2.67e-08       2.2e-09        2.2e-09        -1             
4.5            2.93e-08       2.4e-09        2.4e-09        -1             
4.6            3.38e-08       2.78e-09       2.78e-09       -1             
4.7            3.83e-08       3.16e-09       3.16e-09       -1             
4.8            4.28e-08       3.54e-09       3.54e-09       -1             
4.9            4.73e-08       3.92e-09       3.92e-09       -1             
5              5.18e-08       4.3e-09        4.3e-09        -1             
5.1            5.44e-08       4.48e-09       4.48e-09       -1             
5.2            5.69e-08       4.66e-09       4.66e-09       -1             
5.3            6.05e-08       4.69e-09       4.69e-09       0.425          
5.4            6.33e-08       5.79e-09       5.79e-09       0.237          
5.5            6.61e-08       7.46e-09       7.46e-09       0.143          
5.6            1.17e-07       2.92e-08       2.92e-08       -1             
5.7            1.31e-07       3.27e-08       3.27e-08       -1             
5.8            1.45e-07       3.62e-08       3.62e-08       -1             
5.9            1.59e-07       3.96e-08       3.96e-08       -1             
6              1.73e-07       4.31e-08       4.31e-08       -1             
6.1            1.87e-07       4.69e-08       4.69e-08       -1             
6.2            2.03e-07       5.06e-08       5.06e-08       -1             
6.3            2.17e-07       5.44e-08       5.44e-08       -1             
6.4            2.33e-07       5.81e-08       5.81e-08       -1             
6.5            2.48e-07       6.19e-08       6.19e-08       -1             
6.6            2.62e-07       6.56e-08       6.56e-08       -1             
6.7            2.78e-07       6.94e-08       6.94e-08       -1             
6.8            2.93e-07       7.31e-08       7.31e-08       -1             
6.9            3.24e-07       8.1e-08        8.1e-08        -1             
7              3.56e-07       8.9e-08        8.9e-08        -1             
7.1            3.87e-07       9.69e-08       9.69e-08       -1             
7.2            4.19e-07       1.05e-07       1.05e-07       -1             
7.3            4.51e-07       1.13e-07       1.13e-07       -1             
7.4            4.83e-07       1.21e-07       1.21e-07       -1             
7.5            5.14e-07       1.29e-07       1.29e-07       -1             
7.6            5.46e-07       1.36e-07       1.36e-07       -1             
7.7            5.77e-07       1.44e-07       1.44e-07       -1             
7.8            6.55e-07       1.64e-07       1.64e-07       -1             
7.9            7.32e-07       1.83e-07       1.83e-07       -1             
8              8.09e-07       2.02e-07       2.02e-07       -1             
8.1            8.86e-07       2.21e-07       2.21e-07       -1             
8.2            9.63e-07       2.41e-07       2.41e-07       -1             
8.3            1.04e-06       2.6e-07        2.6e-07        -1             
8.4            1.12e-06       2.79e-07       2.79e-07       -1             
8.5            1.19e-06       2.98e-07       2.98e-07       -1             
8.6            1.27e-06       3.18e-07       3.18e-07       -1             
8.7            1.35e-06       3.37e-07       3.37e-07       -1             
8.8            1.42e-06       3.56e-07       3.56e-07       -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = O
A   = 17
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              3.37e-06       5.33e-07       5.33e-07       0.35           
4.1            3.91e-06       6.18e-07       6.18e-07       0.437          
4.2            4.38e-06       6.93e-07       6.93e-07       0.457          
4.3            4.76e-06       7.52e-07       7.52e-07       0.414          
4.4            5.14e-06       8.19e-07       8.19e-07       0.384          
4.5            5.47e-06       8.74e-07       8.74e-07       0.336          
4.6            5.88e-06       9.5e-07        9.5e-07        0.311          
4.7            6.35e-06       1.02e-06       1.02e-06       0.311          
4.8            6.82e-06       1.08e-06       1.08e-06       0.584          
4.9            7.27e-06       1.14e-06       1.14e-06       0.579          
5              7.81e-06       1.23e-06       1.23e-06       0.611          
5.1            8.52e-06       1.33e-06       1.33e-06       0.552          
5.2            9.38e-06       1.46e-06       1.46e-06       0.553          
5.3            1.01e-05       1.58e-06       1.58e-06       0.558          
5.4            1.29e-05       2.51e-06       2.51e-06       0.798          
5.5            1.39e-05       2.69e-06       2.69e-06       0.804          
5.6            1.51e-05       2.94e-06       2.94e-06       0.806          
5.7            1.63e-05       3.2e-06        3.2e-06        0.809          
5.8            1.75e-05       3.45e-06       3.45e-06       0.812          
5.9            1.87e-05       3.71e-06       3.71e-06       0.816          
6              1.99e-05       3.96e-06       3.96e-06       0.823          
6.1            2.13e-05       4.26e-06       4.26e-06       0.822          
6.2            2.26e-05       4.55e-06       4.55e-06       0.822          
6.3            2.4e-05        4.84e-06       4.84e-06       0.824          
6.4            2.54e-05       5.13e-06       5.13e-06       0.828          
6.5            2.68e-05       5.43e-06       5.43e-06       0.832          
6.6            2.84e-05       5.74e-06       5.74e-06       0.836          
6.7            3e-05          6.04e-06       6.04e-06       0.837          
6.8            3.16e-05       6.35e-06       6.35e-06       0.84           
6.9            3.32e-05       6.66e-06       6.66e-06       0.846          
7              3.47e-05       6.97e-06       6.97e-06       0.851          
7.1            3.65e-05       7.32e-06       7.32e-06       0.852          
7.2            3.83e-05       7.66e-06       7.66e-06       0.856          
7.3            4.01e-05       8.01e-06       8e-06          0.859          
7.4            4.19e-05       8.35e-06       8.35e-06       0.862          
7.5            4.37e-05       8.7e-06        8.69e-06       0.867          
7.6            4.57e-05       9.1e-06        9.09e-06       0.868          
7.7            4.76e-05       9.5e-06        9.5e-06        0.87           
7.8            4.96e-05       9.94e-06       9.93e-06       0.873          
7.9            5.16e-05       1.03e-05       1.03e-05       0.878          
8              5.36e-05       1.07e-05       1.07e-05       0.883          
8.1            5.58e-05       1.11e-05       1.11e-05       0.884          
8.2            5.8e-05        1.15e-05       1.15e-05       0.889          
8.3            6.02e-05       1.19e-05       1.19e-05       0.892          
8.4            6.24e-05       1.22e-05       1.22e-05       0.897          
8.5            6.46e-05       1.26e-05       1.26e-05       0.903          
8.6            6.72e-05       1.32e-05       1.32e-05       0.903          
8.7            6.98e-05       1.38e-05       1.38e-05       0.904          
8.8            7.24e-05       1.43e-05       1.43e-05       0.906          
8.9            7.49e-05       1.49e-05       1.49e-05       0.909          
9              7.75e-05       1.55e-05       1.55e-05       0.912          
9.1            8.05e-05       1.6e-05        1.6e-05        0.912          
9.2            8.35e-05       1.66e-05       1.66e-05       0.912          
9.3            8.65e-05       1.72e-05       1.72e-05       0.913          
9.4            8.95e-05       1.77e-05       1.77e-05       0.915          
9.5            9.25e-05       1.83e-05       1.83e-05       0.917          
9.6            9.58e-05       1.88e-05       1.88e-05       0.915          
9.7            9.92e-05       1.94e-05       1.94e-05       0.914          
9.8            0.000102       2e-05          2e-05          0.917          
9.9            0.000106       2.05e-05       2.05e-05       0.911          
10             0.000109       2.11e-05       2.11e-05       0.918          
END DATA
-------------------------

=========================
ELE = O
A   = 18
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              5.64e-06       6.83e-07       6.83e-07       0.489          
4.1            6.43e-06       7.84e-07       7.84e-07       0.426          
4.2            7.27e-06       8.87e-07       8.87e-07       0.397          
4.3            8.3e-06        1.01e-06       1.01e-06       0.457          
4.4            9.42e-06       1.15e-06       1.15e-06       0.513          
4.5            1.04e-05       1.26e-06       1.26e-06       0.511          
4.6            1.16e-05       1.41e-06       1.41e-06       0.533          
4.7            1.28e-05       1.55e-06       1.55e-06       0.551          
4.8            1.38e-05       1.67e-06       1.67e-06       0.716          
4.9            1.49e-05       1.81e-06       1.81e-06       0.715          
5              1.6e-05        1.94e-06       1.94e-06       0.719          
5.1            1.8e-05        2.75e-06       2.75e-06       0.519          
5.2            2.34e-05       4.69e-06       4.69e-06       0.749          
5.3            2.52e-05       5.05e-06       5.05e-06       0.756          
5.4            2.7e-05        5.4e-06        5.4e-06        0.763          
5.5            2.88e-05       5.76e-06       5.76e-06       0.771          
5.6            3.12e-05       6.21e-06       6.21e-06       0.772          
5.7            3.35e-05       6.66e-06       6.66e-06       0.772          
5.8            3.59e-05       7.11e-06       7.11e-06       0.772          
5.9            3.83e-05       7.55e-06       7.55e-06       0.774          
6              4.06e-05       8e-06          8e-06          0.776          
6.1            4.34e-05       8.56e-06       8.56e-06       0.774          
6.2            4.61e-05       9.12e-06       9.12e-06       0.772          
6.3            4.89e-05       9.68e-06       9.68e-06       0.771          
6.4            5.16e-05       1.02e-05       1.02e-05       0.77           
6.5            5.44e-05       1.08e-05       1.08e-05       0.771          
6.6            5.73e-05       1.14e-05       1.14e-05       0.769          
6.7            6.02e-05       1.19e-05       1.19e-05       0.771          
6.8            6.32e-05       1.25e-05       1.25e-05       0.772          
6.9            6.61e-05       1.3e-05        1.3e-05        0.775          
7              6.91e-05       1.36e-05       1.36e-05       0.778          
7.1            7.22e-05       1.42e-05       1.42e-05       0.78           
7.2            7.54e-05       1.47e-05       1.47e-05       0.784          
7.3            7.85e-05       1.53e-05       1.53e-05       0.787          
7.4            8.16e-05       1.58e-05       1.58e-05       0.79           
7.5            8.48e-05       1.64e-05       1.64e-05       0.795          
7.6            8.76e-05       1.71e-05       1.71e-05       0.806          
7.7            9.03e-05       1.78e-05       1.78e-05       0.817          
7.8            9.31e-05       1.85e-05       1.85e-05       0.829          
7.9            9.6e-05        1.92e-05       1.92e-05       0.841          
8              9.88e-05       1.99e-05       1.99e-05       0.853          
8.1            0.000103       2.05e-05       2.05e-05       0.852          
8.2            0.000107       2.1e-05        2.1e-05        0.851          
8.3            0.000111       2.16e-05       2.16e-05       0.851          
8.4            0.000115       2.21e-05       2.21e-05       0.854          
8.5            0.000119       2.26e-05       2.26e-05       0.857          
8.6            0.000123       2.33e-05       2.33e-05       0.859          
8.7            0.000126       2.4e-05        2.4e-05        0.861          
8.8            0.00013        2.47e-05       2.47e-05       0.863          
8.9            0.000134       2.54e-05       2.54e-05       0.866          
9              0.000138       2.61e-05       2.61e-05       0.868          
9.1            0.000142       2.68e-05       2.68e-05       0.87           
9.2            0.000146       2.75e-05       2.75e-05       0.872          
9.3            0.00015        2.82e-05       2.82e-05       0.874          
9.4            0.000154       2.89e-05       2.89e-05       0.886          
9.5            0.000158       2.96e-05       2.96e-05       0.887          
9.6            0.000162       3.03e-05       3.03e-05       0.898          
9.7            0.000166       3.1e-05        3.1e-05        0.9            
9.8            0.00017        3.17e-05       3.17e-05       0.91           
9.9            0.000174       3.24e-05       3.24e-05       0.911          
10             0.000179       3.31e-05       3.31e-05       0.921          
END DATA
-------------------------

=========================
ELE = F
A   = 19
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              1.97e-07       1.34e-07       1.31e-07       1.88e-80       
4.1            3.92e-07       1.9e-07        1.9e-07        1.29e-64       
4.2            6.49e-07       2.43e-07       2.43e-07       1.94e-53       
4.3            9.76e-07       2.99e-07       2.99e-07       3.65e-40       
4.4            1.16e-06       3.47e-07       3.47e-07       1.17e-39       
4.5            1.59e-06       4.27e-07       4.27e-07       1.83e-32       
4.6            2.13e-06       5.04e-07       5.04e-07       2.65e-25       
4.7            2.7e-06        5.59e-07       5.59e-07       2.83e-20       
4.8            3.07e-06       7.09e-07       7.09e-07       2.84e-20       
4.9            3.46e-06       7.94e-07       7.94e-07       6.25e-20       
5              3.98e-06       1.02e-06       1.02e-06       8.93e-19       
5.1            4.5e-06        1.18e-06       1.17e-06       1.79e-19       
5.2            5.03e-06       1.33e-06       1.33e-06       7.21e-20       
5.3            6.49e-06       1.19e-06       1.19e-06       1.29e-12       
5.4            7.58e-06       1.13e-06       1.13e-06       4.74e-09       
5.5            8.65e-06       1.11e-06       1.11e-06       7.19e-07       
5.6            9.82e-06       1.1e-06        1.1e-06        2.15e-05       
5.7            1.09e-05       1.13e-06       1.13e-06       0.000114       
5.8            1.21e-05       1.14e-06       1.14e-06       0.000571       
5.9            1.33e-05       1.08e-06       1.08e-06       0.00463        
6              1.46e-05       1.05e-06       1.05e-06       0.0167         
6.1            1.62e-05       1.12e-06       1.12e-06       0.0238         
6.2            1.79e-05       1.12e-06       1.12e-06       0.0543         
6.3            1.96e-05       1.17e-06       1.17e-06       0.0708         
6.4            2.12e-05       1.21e-06       1.21e-06       0.0915         
6.5            2.28e-05       1.23e-06       1.23e-06       0.126          
6.6            2.57e-05       1.34e-06       1.34e-06       0.289          
6.7            2.74e-05       1.39e-06       1.39e-06       0.307          
6.8            2.91e-05       1.47e-06       1.47e-06       0.317          
6.9            3.09e-05       1.56e-06       1.56e-06       0.318          
7              3.26e-05       1.65e-06       1.65e-06       0.313          
7.1            3.5e-05        1.79e-06       1.79e-06       0.303          
7.2            3.74e-05       1.95e-06       1.95e-06       0.286          
7.3            3.96e-05       2.08e-06       2.08e-06       0.282          
7.4            4.17e-05       2.19e-06       2.19e-06       0.285          
7.5            4.39e-05       2.28e-06       2.28e-06       0.294          
7.6            4.62e-05       2.37e-06       2.37e-06       0.302          
7.7            4.86e-05       2.48e-06       2.48e-06       0.305          
7.8            5.11e-05       2.6e-06        2.6e-06        0.305          
7.9            5.35e-05       2.74e-06       2.74e-06       0.301          
8              5.6e-05        2.88e-06       2.88e-06       0.298          
8.1            5.99e-05       2.85e-06       2.85e-06       0.709          
8.2            6.24e-05       2.97e-06       2.97e-06       0.716          
8.3            6.47e-05       3.08e-06       3.08e-06       0.722          
8.4            6.69e-05       3.19e-06       3.19e-06       0.728          
8.5            6.91e-05       3.29e-06       3.29e-06       0.729          
8.6            7.17e-05       3.42e-06       3.42e-06       0.732          
8.7            7.44e-05       3.55e-06       3.55e-06       0.735          
8.8            7.72e-05       3.68e-06       3.68e-06       0.738          
8.9            7.94e-05       3.85e-06       3.85e-06       0.787          
9              8.21e-05       3.99e-06       3.99e-06       0.79           
9.1            8.52e-05       4.14e-06       4.14e-06       0.802          
9.2            8.83e-05       4.29e-06       4.29e-06       0.813          
9.3            9.13e-05       4.44e-06       4.44e-06       0.832          
9.4            9.42e-05       4.57e-06       4.57e-06       0.85           
9.5            9.71e-05       4.71e-06       4.71e-06       0.866          
9.6            0.000101       4.88e-06       4.88e-06       0.851          
9.7            0.000104       5.04e-06       5.04e-06       0.848          
9.8            0.000107       5.2e-06        5.2e-06        0.889          
9.9            0.00011        5.34e-06       5.34e-06       0.892          
10             0.000113       5.47e-06       5.47e-06       0.895          
END DATA
-------------------------

=========================
ELE = F
A   = 0
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              1.28e-06       1.3e-07        1.3e-07        -1             
4.1            1.58e-06       1.42e-07       1.42e-07       -1             
4.2            1.87e-06       1.54e-07       1.54e-07       -1             
4.3            2.17e-06       1.66e-07       1.66e-07       -1             
4.4            2.46e-06       1.78e-07       1.78e-07       -1             
4.5            2.76e-06       1.9e-07        1.9e-07        -1             
4.6            3.23e-06       2.14e-07       2.14e-07       -1             
4.7            3.69e-06       2.38e-07       2.38e-07       -1             
4.8            4.16e-06       2.62e-07       2.62e-07       -1             
4.9            4.62e-06       2.86e-07       2.86e-07       -1             
5              5.09e-06       3.1e-07        3.1e-07        -1             
5.1            5.97e-06       3.84e-07       3.84e-07       -1             
5.2            6.85e-06       4.58e-07       4.58e-07       -1             
5.3            7.74e-06       5.32e-07       5.32e-07       -1             
5.4            8.62e-06       6.06e-07       6.06e-07       -1             
5.5            9.5e-06        6.8e-07        6.8e-07        -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            -1             -1             -1             -1             
8.8            -1             -1             -1             -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = Ne
A   = 21
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              2.01e-06       2.41e-07       2.41e-07       -1             
4.1            2.44e-06       2.92e-07       2.92e-07       -1             
4.2            2.73e-06       3.28e-07       3.28e-07       -1             
4.3            3.07e-06       3.69e-07       3.69e-07       -1             
4.4            3.35e-06       4.02e-07       4.02e-07       -1             
4.5            3.91e-06       4.69e-07       4.69e-07       -1             
4.6            4.39e-06       5.26e-07       5.26e-07       -1             
4.7            4.94e-06       5.92e-07       5.92e-07       -1             
4.8            5.53e-06       6.63e-07       6.63e-07       -1             
4.9            6.18e-06       7.4e-07        7.4e-07        -1             
5              6.9e-06        8.27e-07       8.27e-07       -1             
5.1            7.83e-06       9.38e-07       9.38e-07       -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            -1             -1             -1             -1             
8.8            -1             -1             -1             -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = Ne
A   = 22
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              1.52e-06       1.81e-07       1.81e-07       -1             
4.1            1.69e-06       2.01e-07       2.01e-07       -1             
4.2            2.09e-06       2.5e-07        2.5e-07        -1             
4.3            2.49e-06       2.97e-07       2.97e-07       -1             
4.4            2.91e-06       3.48e-07       3.48e-07       -1             
4.5            3.57e-06       4.27e-07       4.27e-07       -1             
4.6            4.19e-06       5.01e-07       5.01e-07       -1             
4.7            4.72e-06       5.64e-07       5.64e-07       -1             
4.8            5.24e-06       6.27e-07       6.27e-07       -1             
4.9            5.77e-06       6.9e-07        6.9e-07        -1             
5              6.38e-06       7.63e-07       7.63e-07       -1             
5.1            6.97e-06       8.35e-07       8.35e-07       -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            -1             -1             -1             -1             
8.8            -1             -1             -1             -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = Ne
A   = 20
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            -1             -1             -1             -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            9.62e-10       6.63e-10       6.63e-10       -1             
8.8            6.55e-09       2.19e-09       2.19e-09       -1             
8.9            2.46e-08       4.41e-09       4.41e-09       -1             
9              5.67e-08       7.92e-09       7.92e-09       -1             
9.1            8.84e-08       1.1e-08        1.1e-08        -1             
9.2            1.13e-07       1.4e-08        1.4e-08        -1             
9.3            1.63e-07       1.88e-08       1.88e-08       -1             
9.4            2.7e-07        2.92e-08       2.92e-08       -1             
9.5            3.91e-07       4.02e-08       4.02e-08       -1             
9.6            4.83e-07       4.87e-08       4.87e-08       -1             
9.7            5.61e-07       5.65e-08       5.65e-08       -1             
9.8            6.38e-07       6.39e-08       6.39e-08       -1             
9.9            7.2e-07        7.18e-08       7.18e-08       -1             
10             8.04e-07       8e-08          8e-08          -1             
END DATA
-------------------------

=========================
ELE = Na
A   = 23
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              5.41e-08       6.1e-09        6.1e-09        0.233          
4.1            8.71e-08       7.45e-09       7.45e-09       0.569          
4.2            1.42e-07       1.02e-08       1.02e-08       0.461          
4.3            1.91e-07       1.28e-08       1.28e-08       0.581          
4.4            2.41e-07       1.55e-08       1.55e-08       0.622          
4.5            2.78e-07       1.76e-08       1.76e-08       0.375          
4.6            4.7e-07        6.66e-08       6.66e-08       0.465          
4.7            5.98e-07       7.88e-08       7.88e-08       0.373          
4.8            7.45e-07       9.69e-08       9.69e-08       0.383          
4.9            9.13e-07       1.21e-07       1.21e-07       0.456          
5              1.1e-06        1.42e-07       1.42e-07       0.561          
5.1            1.32e-06       1.68e-07       1.68e-07       0.481          
5.2            1.56e-06       1.92e-07       1.92e-07       0.485          
5.3            1.9e-06        2.1e-07        2.1e-07        0.445          
5.4            2.21e-06       2.49e-07       2.49e-07       0.426          
5.5            2.54e-06       2.86e-07       2.86e-07       0.434          
