=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
5              7.86e-07       3.4e-08        3.4e-08        0.511          
5.1            1.13e-06       5.24e-08       5.24e-08       0.326          
5.2            1.59e-06       8.52e-08       8.52e-08       0.535          
5.3            1.95e-06       1.04e-07       1.04e-07       0.532          
5.4            2.28e-06       1.22e-07       1.22e-07       0.592          
5.5            2.62e-06       1.39e-07       1.39e-07       0.632          
5.6            3.1e-06        1.64e-07       1.64e-07       0.756          
5.7            3.39e-06       3.92e-07       3.92e-07       0.698          
5.8            3.91e-06       4.54e-07       4.54e-07       0.637          
5.9            4.45e-06       5.17e-07       5.17e-07       0.561          
6              4.99e-06       5.83e-07       5.83e-07       0.468          
6.1            6.18e-06       7.24e-07       7.24e-07       0.634          
6.2            7.37e-06       8.66e-07       8.66e-07       0.72           
6.3            8.6e-06        1.01e-06       1.01e-06       0.75           
6.4            9.88e-06       1.16e-06       1.16e-06       0.735          
6.5            1.12e-05       1.32e-06       1.32e-06       0.7            
6.6            1.37e-05       1.6e-06        1.6e-06        0.892          
6.7            1.62e-05       1.88e-06       1.88e-06       0.961          
6.8            1.88e-05       2.18e-06       2.18e-06       0.973          
6.9            2.16e-05       2.48e-06       2.48e-06       0.957          
7              2.44e-05       2.8e-06        2.8e-06        0.924          
7.1            2.79e-05       3.21e-06       3.21e-06       0.934          
7.2            3.14e-05       3.62e-06       3.62e-06       0.945          
7.3            3.48e-05       4.02e-06       4.02e-06       0.949          
7.4            3.83e-05       4.43e-06       4.43e-06       0.952          
7.5            4.17e-05       4.82e-06       4.82e-06       0.961          
7.6            4.42e-05       5.13e-06       5.13e-06       0.953          
7.7            4.67e-05       5.42e-06       5.42e-06       0.951          
7.8            4.9e-05        5.71e-06       5.71e-06       0.954          
7.9            5.13e-05       5.99e-06       5.99e-06       0.963          
8              5.37e-05       6.24e-06       6.24e-06       0.967          
8.1            5.59e-05       6.51e-06       6.51e-06       0.971          
