# JENDL
# Энеригия | Выход нейтронов с 1 распада Th232 | Погрешность выхода

Energy	15N	%unc
6	1.5e-05	3.1e-06
5.5	9.6e-06	1.9e-06
5	5.4e-06	1.1e-06
4.5	2.8e-06	5.6e-07
4	1.1e-06	2.3e-07
3.5	2.9e-07	5.9e-08
3	3.8e-08	7.6e-09
2.5	7.3e-10	1.5e-10
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	30Si	%unc
10	6.5e-05	1.3e-05
9.5	5.2e-05	1e-05
9	4.1e-05	8.2e-06
8.5	3.1e-05	6.3e-06
8	2.3e-05	4.6e-06
7.5	1.6e-05	3.1e-06
7	1e-05	2.1e-06
6.5	6.3e-06	1.3e-06
6	3.5e-06	7e-07
5.5	1.6e-06	3.1e-07
5	6.7e-07	1.3e-07
4.5	1.1e-07	2.2e-08
4	1.6e-10	3.2e-11
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	11B	%unc
10	6.7e-05	1.3e-05
9.5	6.2e-05	1.2e-05
9	5.7e-05	1.1e-05
8.5	5.3e-05	1.1e-05
8	4.8e-05	9.7e-06
7.5	4.2e-05	8.5e-06
7	3.8e-05	7.5e-06
6.5	3.4e-05	6.8e-06
6	2.9e-05	5.9e-06
5.5	2.4e-05	4.8e-06
5	1.8e-05	3.7e-06
4.5	1.2e-05	2.5e-06
4	7.2e-06	1.4e-06
3.5	3.4e-06	6.9e-07
3	1.9e-06	3.9e-07
2.5	8e-07	1.6e-07
2	1.5e-07	2.9e-08
1.5	5.6e-09	1.1e-09
1	0	0
0.5	0	0

Energy	18O	%unc
10	0.00018	3.6e-05
9.5	0.00016	3.2e-05
9	0.00014	2.8e-05
8.5	0.00012	2.4e-05
8	0.0001	2.1e-05
7.5	8.6e-05	1.7e-05
7	7e-05	1.4e-05
6.5	5.5e-05	1.1e-05
6	4.1e-05	8.1e-06
5.5	2.9e-05	5.8e-06
5	2e-05	4e-06
4.5	1.3e-05	2.6e-06
4	7.1e-06	1.4e-06
3.5	2.5e-06	5e-07
3	1.1e-06	2.2e-07
2.5	1.4e-07	2.7e-08
2	9.1e-09	1.8e-09
1.5	2.2e-09	4.5e-10
1	1e-10	2.1e-11
0.5	0	0

Energy	28Si	%unc
10	1.3e-07	2.6e-08
9.5	1.8e-08	3.5e-09
9	0	0
8.5	0	0
8	0	0
7.5	0	0
7	0	0
6.5	0	0
6	0	0
5.5	0	0
5	0	0
4.5	0	0
4	0	0
3.5	0	0
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

Energy	27Al	%unc
10	3.2e-05	6.5e-06
9.5	2.5e-05	5e-06
9	2e-05	4e-06
8.5	1.5e-05	3.1e-06
8	1.1e-05	2.2e-06
7.5	7.6e-06	1.5e-06
7	4.8e-06	9.6e-07
6.5	3e-06	5.9e-07
6	1.7e-06	3.3e-07
5.5	8e-07	1.6e-07
5	3.1e-07	6.2e-08
4.5	8.5e-08	1.7e-08
4	1.5e-08	3e-09
3.5	1.5e-09	3e-10
3	0	0
2.5	0	0
2	0	0
1.5	0	0
1	0	0
0.5	0	0

